PIN Solred (4 números);NÚMERO TARJETA;MATRÍCULA;N Tarjeta 2;Pin filtered
'5747';'************01325';'VUELTA-132';1325;5747
'2605';'************01333';'VUELTA-133';1333;2605
'0124';'************01341';'VUELTA-134';1341;0124
'7516';'************01358';'VUELTA-135';1358;7516
'7448';'************01366';'VUELTA-136';1366;7448
'4916';'************01374';'VUELTA-137';1374;4916
'3313';'************01382';'VUELTA-138';1382;3313
'9918';'************01390';'VUELTA-139';1390;9918
'8992';'************01408';'VUELTA-140';1408;8992
'6117';'************01416';'VUELTA-141';1416;6117
'1419';'************01424';'VUELTA-142';1424;1419
'6896';'************01432';'VUELTA-143';1432;6896
'4875';'************01440';'VUELTA-144';1440;4875
'7270';'************01457';'VUELTA-145';1457;7270
'6137';'************01465';'VUELTA-146';1465;6137
'5028';'************01473';'VUELTA-147';1473;5028
'8282';'************01481';'VUELTA-148';1481;8282
'0911';'************01499';'VUELTA-149';1499;0911
'4547';'************01507';'VUELTA-150';1507;4547
'5325';'************01515';'VUELTA-151';1515;5325
'0207';'************01523';'VUELTA-152';1523;0207
'5582';'************01531';'VUELTA-153';1531;5582
'8856';'************01549';'VUELTA-154';1549;8856
'0293';'************01556';'VUELTA-155';1556;0293
'9714';'************01564';'VUELTA-156';1564;9714
'8647';'************01572';'VUELTA-157';1572;8647
'3974';'************01580';'VUELTA-158';1580;3974
'6734';'************01598';'VUELTA-159';1598;6734
'7890';'************01606';'VUELTA-160';1606;7890
'2660';'************01614';'VUELTA-161';1614;2660
'3983';'************01622';'VUELTA-162';1622;3983
'8493';'************01630';'VUELTA-163';1630;8493
'4147';'************01648';'VUELTA-164';1648;4147
'7166';'************01655';'VUELTA-165';1655;7166
'8967';'************01663';'VUELTA-166';1663;8967
'0061';'************01671';'VUELTA-167';1671;0061
'4466';'************01689';'VUELTA-168';1689;4466
'2487';'************01697';'VUELTA-169';1697;2487
'1494';'************01705';'VUELTA-170';1705;1494
'7975';'************01713';'VUELTA-171';1713;7975
'3955';'************01721';'VUELTA-172';1721;3955
'8357';'************01739';'VUELTA-173';1739;8357
'3567';'************01747';'VUELTA-174';1747;3567
'7249';'************01754';'VUELTA-175';1754;7249
'3618';'************01762';'VUELTA-176';1762;3618
'6340';'************01770';'VUELTA-177';1770;6340
'7566';'************01788';'VUELTA-178';1788;7566
'2928';'************01796';'VUELTA-179';1796;2928
'4092';'************01804';'VUELTA-180';1804;4092
'7652';'************01812';'VUELTA-181';1812;7652
'2562';'************01820';'VUELTA-182';1820;2562
'7691';'************01838';'VUELTA-183';1838;7691
'5363';'************01846';'VUELTA-184';1846;5363
'2126';'************01853';'VUELTA-185';1853;2126
'7582';'************01861';'VUELTA-186';1861;7582
'7694';'************01879';'VUELTA-187';1879;7694
'7979';'************01887';'VUELTA-188';1887;7979
'5465';'************01895';'VUELTA-189';1895;5465
'5025';'************01903';'VUELTA-190';1903;5025
'7509';'************01911';'VUELTA-191';1911;7509
'5384';'************01929';'VUELTA-192';1929;5384
'4420';'************01937';'VUELTA-193';1937;4420
'6938';'************01945';'VUELTA-194';1945;6938
'6861';'************01952';'VUELTA-195';1952;6861
'8244';'************01960';'VUELTA-196';1960;8244
'4768';'************01978';'VUELTA-197';1978;4768
'4738';'************01986';'VUELTA-198';1986;4738
'0382';'************01994';'VUELTA-199';1994;0382
'9936';'************02000';'VUELTA-200';2000;9936
'0375';'************02018';'VUELTA-201';2018;0375
'9596';'************02026';'VUELTA-202';2026;9596
'2981';'************02034';'VUELTA-203';2034;2981
'6681';'************02042';'VUELTA-204';2042;6681
'1606';'************02059';'VUELTA-205';2059;1606
'0799';'************02067';'VUELTA-206';2067;0799
'2735';'************02075';'VUELTA-207';2075;2735
'2777';'************02083';'VUELTA-208';2083;2777
'5260';'************02091';'VUELTA-209';2091;5260
'7848';'************02109';'VUELTA-210';2109;7848
'5846';'************02117';'VUELTA-211';2117;5846
'4370';'************02125';'VUELTA-212';2125;4370
'4350';'************02133';'VUELTA-213';2133;4350
'9637';'************02141';'VUELTA-214';2141;9637
'0887';'************02158';'VUELTA-215';2158;0887
'8489';'************02166';'VUELTA-216';2166;8489
'3791';'************02174';'VUELTA-217';2174;3791
'9952';'************02182';'VUELTA-218';2182;9952
'7474';'************02190';'VUELTA-219';2190;7474
'0962';'************02208';'VUELTA-220';2208;0962
'3300';'************02216';'VUELTA-221';2216;3300
'7195';'************02224';'VUELTA-222';2224;7195
'9127';'************02232';'VUELTA-223';2232;9127
'2442';'************02240';'VUELTA-224';2240;2442
'8083';'************02257';'VUELTA-225';2257;8083
'7373';'************02265';'VUELTA-226';2265;7373
'1819';'************02273';'VUELTA-227';2273;1819
'7741';'************02281';'VUELTA-228';2281;7741
'0135';'************02299';'VUELTA-229';2299;0135
'7028';'************02307';'VUELTA-230';2307;7028
'2912';'************02315';'VUELTA-231';2315;2912
'0261';'************02323';'VUELTA-232';2323;0261
'2972';'************02331';'VUELTA-233';2331;2972
'9971';'************02349';'VUELTA-234';2349;9971
'1467';'************02356';'VUELTA-235';2356;1467
'2748';'************02364';'VUELTA-236';2364;2748
'5700';'************02372';'VUELTA-237';2372;5700
'5767';'************02380';'VUELTA-238';2380;5767
'8117';'************02398';'VUELTA-239';2398;8117
'2052';'************02406';'VUELTA-240';2406;2052
'2592';'************02414';'VUELTA-241';2414;2592
'8846';'************02422';'VUELTA-242';2422;8846
'3709';'************02430';'VUELTA-243';2430;3709
'0720';'************02448';'VUELTA-244';2448;0720
'3034';'************02455';'VUELTA-245';2455;3034
'5558';'************02463';'VUELTA-246';2463;5558
'3538';'************02471';'VUELTA-247';2471;3538
'3532';'************02489';'VUELTA-248';2489;3532
'6978';'************02497';'VUELTA-249';2497;6978
'4863';'************02505';'VUELTA-250';2505;4863
'1160';'************02513';'VUELTA-251';2513;1160
'4883';'************02521';VUELTA-252';2521;4883
'4254';'************02539';VUELTA-253';2539;4254
'1716';'************02547';VUELTA-254';2547;1716
'5073';'************02554';VUELTA-255';2554;5073
'6643';'************02562';VUELTA-256';2562;6643
'5145';'************02570';VUELTA-257';2570;5145
'5571';'************02588';VUELTA-258';2588;5571
'1716';'************02596';VUELTA-259';2596;1716
'0006';'************02604';VUELTA-260';2604;0006
'1808';'************02612';VUELTA-261';2612;1808
'0085';'************02620';VUELTA-262';2620;0085
'4264';'************02638';VUELTA-263';2638;4264
'6162';'************02646';VUELTA-264';2646;6162
'9773';'************02653';VUELTA-265';2653;9773
'0966';'************02661';VUELTA-266';2661;0966
'6957';'************02679';VUELTA-267';2679;6957
'2854';'************02687';VUELTA-268';2687;2854
'6817';'************02695';VUELTA-269';2695;6817
'5162';'************02703';VUELTA-270';2703;5162
'0074';'************02711';VUELTA-271';2711;0074
'7603';'************02729';VUELTA-272';2729;7603
'7388';'************02737';VUELTA-273';2737;7388
'6862';'************02745';VUELTA-274';2745;6862
'4621';'************02752';VUELTA-275';2752;4621
'3311';'************02760';VUELTA-276';2760;3311
'9250';'************02778';VUELTA-277';2778;9250
'9268';'************02786';VUELTA-278';2786;9268
'7554';'************02794';VUELTA-279';2794;7554
'4871';'************02802';VUELTA-280';2802;4871
'8584';'************02810';VUELTA-281';2810;8584
'8629';'************02828';VUELTA-282';2828;8629
'4001';'************02836';VUELTA-283';2836;4001
'7263';'************02844';VUELTA-284';2844;7263
'2019';'************02851';VUELTA-285';2851;2019
'7353';'************02869';VUELTA-286';2869;7353
'8514';'************02877';VUELTA-287';2877;8514
'0206';'************02885';VUELTA-288';2885;0206
'0224';'************02893';VUELTA-289';2893;0224
'9793';'************02901';VUELTA-290';2901;9793
'7504';'************02919';VUELTA-291';2919;7504
'3583';'************02927';VUELTA-292';2927;3583
'8803';'************02935';VUELTA-293';2935;8803
'5190';'************02943';VUELTA-294';2943;5190
'5427';'************02950';VUELTA-295';2950;5427
'1780';'************02968';VUELTA-296';2968;1780
'2281';'************02976';VUELTA-297';2976;2281
'6806';'************02984';VUELTA-298';2984;6806
'0427';'************02992';VUELTA-299';2992;0427
'3744';'************03008';VUELTA-300';3008;3744
'8147';'************03016';VUELTA-301';3016;8147
'9058';'************03024';VUELTA-302';3024;9058
'7055';'************03032';VUELTA-303';3032;7055
'1924';'************03040';VUELTA-304';3040;1924
'9997';'************03057';VUELTA-305';3057;9997
'2937';'************03065';VUELTA-306';3065;2937
'5430';'************03073';VUELTA-307';3073;5430
'1249';'************03081';VUELTA-308';3081;1249
'9816';'************03099';VUELTA-309';3099;9816
'5846';'************03107';VUELTA-310';3107;5846
'9578';'************03115';VUELTA-311';3115;9578
'3061';'************03123';VUELTA-312';3123;3061
'4192';'************03131';VUELTA-313';3131;4192
'6288';'************03149';VUELTA-314';3149;6288
'8223';'************03156';VUELTA-315';3156;8223
'8573';'************03164';VUELTA-316';3164;8573
'2244';'************03172';VUELTA-317';3172;2244
'2389';'************03180';VUELTA-318';3180;2389
'9550';'************03198';VUELTA-319';3198;9550
'7449';'************03206';VUELTA-320';3206;7449
'4356';'************03214';VUELTA-321';3214;4356
'0074';'************03222';VUELTA-322';3222;0074
'6946';'************03230';VUELTA-323';3230;6946
'8411';'************03248';VUELTA-324';3248;8411
'9098';'************03255';VUELTA-325';3255;9098
'4701';'************03263';VUELTA-326';3263;4701
'2885';'************03271';VUELTA-327';3271;2885
'3395';'************03289';VUELTA-328';3289;3395
'7312';'************03297';VUELTA-329';3297;7312
'8458';'************03305';VUELTA-330';3305;8458
'5759';'************03313';VUELTA-331';3313;5759
'3662';'************03321';VUELTA-332';3321;3662
'3329';'************03339';VUELTA-333';3339;3329
'4577';'************03347';VUELTA-334';3347;4577
'3844';'************03354';VUELTA-335';3354;3844
'4880';'************03362';VUELTA-336';3362;4880
'0720';'************03370';VUELTA-337';3370;0720
'0651';'************03388';VUELTA-338';3388;0651
'0732';'************03396';VUELTA-339';3396;0732
'0837';'************03404';VUELTA-340';3404;0837
'1286';'************03412';VUELTA-341';3412;1286
'5167';'************03420';VUELTA-342';3420;5167
'8702';'************03438';VUELTA-343';3438;8702
'6807';'************03446';VUELTA-344';3446;6807
'2388';'************03453';VUELTA-345';3453;2388
'0093';'************03461';VUELTA-346';3461;0093
'5166';'************03479';VUELTA-347';3479;5166
'7660';'************03487';VUELTA-348';3487;7660
'4993';'************03495';VUELTA-349';3495;4993
'7256';'************03503';VUELTA-350';3503;7256
'2266';'************03511';VUELTA-351';3511;2266
'2893';'************03529';VUELTA-352';3529;2893
'8439';'************03537';VUELTA-353';3537;8439
'7284';'************03545';VUELTA-354';3545;7284
'8224';'************04162';VUELTA-355';4162;8224
'9706';'************03560';VUELTA-356';3560;9706
'1580';'************03578';VUELTA-357';3578;1580
'8633';'************03586';VUELTA-358';3586;8633
'8283';'************03594';VUELTA-359';3594;8283
'9671';'************03602';VUELTA-360';3602;9671
'1931';'************03610';VUELTA-361';3610;1931
'6455';'************03628';VUELTA-362';3628;6455
'9553';'************03636';VUELTA-363';3636;9553
'3321';'************03644';VUELTA-364';3644;3321
'2982';'************03651';VUELTA-365';3651;2982
'1644';'************03669';VUELTA-366';3669;1644
'7996';'************03677';VUELTA-367';3677;7996
'1199';'************03685';VUELTA-368';3685;1199
'0407';'************03693';VUELTA-369';3693;0407
'3609';'************03701';VUELTA-370';3701;3609
'7612';'************03719';VUELTA-371';3719;7612
'9790';'************03727';VUELTA-372';3727;9790
'5843';'************03735';VUELTA-373';3735;5843
'1136';'************03743';VUELTA-374';3743;1136
'7318';'************03750';VUELTA-375';3750;7318
'2133';'************03768';VUELTA-376';3768;2133
'6628';'************03776';VUELTA-377';3776;6628
'8908';'************03784';VUELTA-378';3784;8908
'3164';'************03792';VUELTA-379';3792;3164
'9740';'************03800';VUELTA-380';3800;9740
'2485';'************03818';VUELTA-381';3818;2485
'8258';'************03826';VUELTA-382';3826;8258
'6012';'************03834';VUELTA-383';3834;6012
'9653';'************03842';VUELTA-384';3842;9653
'6105';'************03859';VUELTA-385';3859;6105
'8299';'************03867';VUELTA-386';3867;8299
'2407';'************03875';VUELTA-387';3875;2407
'5217';'************03883';VUELTA-388';3883;5217
'8761';'************03891';VUELTA-389';3891;8761
'6172';'************03909';VUELTA-390';3909;6172
'2272';'************03917';VUELTA-391';3917;2272
'0502';'************03925';VUELTA-392';3925;0502
'2374';'************03933';VUELTA-393';3933;2374
'0676';'************03941';VUELTA-394';3941;0676
'6118';'************03958';VUELTA-395';3958;6118
'4176';'************03966';VUELTA-396';3966;4176
'9685';'************03974';VUELTA-397';3974;9685
'6244';'************03982';VUELTA-398';3982;6244
'6744';'************03990';VUELTA-399';3990;6744
'9399';'************04006';VUELTA-400';4006;9399
'2751';'************04014';VUELTA-401';4014;2751
;;;;
;;;;
